Title,Director,Genre,Cast,combined
getaway,david twohy,thriller mystery adventure,steve zahn milla jovovich timothy olyphant,getaway david twohy thriller mystery adventure steve zahn milla jovovich timothy olyphant
the lifeguard,liz w. garcia,drama comedy romance,kristen bell mamie gummer martin starr,the lifeguard liz w. garcia drama comedy romance kristen bell mamie gummer martin starr
the zero theorem,terry gilliam,drama fantasy science fiction,christoph waltz david thewlis mélanie thierry,the zero theorem terry gilliam drama fantasy science fiction christoph waltz david thewlis mélanie thierry
about time,richard curtis,drama romance fantasy,domhnall gleeson rachel mcadams bill nighy,about time richard curtis drama romance fantasy domhnall gleeson rachel mcadams bill nighy
hell baby,thomas lennon,comedy horror,rob corddry leslie bibb keegan-michael key,hell baby thomas lennon comedy horror rob corddry leslie bibb keegan-michael key
riddick,david twohy,science fiction action thriller,vin diesel matt nable katee sackhoff,riddick david twohy science fiction action thriller vin diesel matt nable katee sackhoff
shuddh desi romance,maneesh sharma,drama romance,sushant singh rajput parineeti chopra vaani kapoor,shuddh desi romance maneesh sharma drama romance sushant singh rajput parineeti chopra vaani kapoor
touchy feely,lynn shelton,drama,rosemarie dewitt josh pais elliot page,touchy feely lynn shelton drama rosemarie dewitt josh pais elliot page
august: osage county,john wells,comedy drama,meryl streep julia roberts chris cooper,august: osage county john wells comedy drama meryl streep julia roberts chris cooper
the family,brandon vietti,animation action,bruce greenwood vincent martella john dimaggio,the family brandon vietti animation action bruce greenwood vincent martella john dimaggio
insidious: chapter 2,james wan,horror thriller,patrick wilson rose byrne ty simpkins,insidious: chapter 2 james wan horror thriller patrick wilson rose byrne ty simpkins
dick figures: the movie,zack keller,animation comedy adventure,eric bauza ben tuller shea logsdon,dick figures: the movie zack keller animation comedy adventure eric bauza ben tuller shea logsdon
battle of the year,benson lee,music drama,josh holloway josh peck chris brown,battle of the year benson lee music drama josh holloway josh peck chris brown
enough said,nicole holofcener,comedy drama romance,julia louis-dreyfus james gandolfini catherine keener,enough said nicole holofcener comedy drama romance julia louis-dreyfus james gandolfini catherine keener
prisoners,denis villeneuve,drama thriller crime,hugh jackman jake gyllenhaal maria bello,prisoners denis villeneuve drama thriller crime hugh jackman jake gyllenhaal maria bello
rush,brett ratner,action comedy crime,jackie chan chris tucker ken leung,rush brett ratner action comedy crime jackie chan chris tucker ken leung
sunshine on leith,dexter fletcher,music romance comedy drama,george mackay kevin guthrie freya mavor,sunshine on leith dexter fletcher music romance comedy drama george mackay kevin guthrie freya mavor
the wizard of oz 3d,unknown,unknown,unknown,the wizard of oz 3d unknown unknown unknown
baggage claim,david e. talbert,comedy,paula patton derek luke taye diggs,baggage claim david e. talbert comedy paula patton derek luke taye diggs
cloudy with a chance of meatballs 2,cody cameron,animation family comedy,bill hader anna faris james caan,cloudy with a chance of meatballs 2 cody cameron animation family comedy bill hader anna faris james caan
don jon,joseph gordon-levitt,romance comedy drama,joseph gordon-levitt scarlett johansson julianne moore,don jon joseph gordon-levitt romance comedy drama joseph gordon-levitt scarlett johansson julianne moore
metallica through the never,nimród antal,music,dane dehaan mackenzie gray james hetfield,metallica through the never nimród antal music dane dehaan mackenzie gray james hetfield
ramayya vasthavayya,harish shankar,drama action,n.t. rama rao jr. samantha ruth prabhu shruti haasan,ramayya vasthavayya harish shankar drama action n.t. rama rao jr. samantha ruth prabhu shruti haasan
runner runner,brad furman,crime thriller drama,ben affleck gemma arterton justin timberlake,runner runner brad furman crime thriller drama ben affleck gemma arterton justin timberlake
1,carlos gallardo,action horror science fiction,oris erhuero carlos gallardo mark strange,1 carlos gallardo action horror science fiction oris erhuero carlos gallardo mark strange
grace unplugged,brad j. silverman,drama music,aj michalka james denton kevin pollak,grace unplugged brad j. silverman drama music aj michalka james denton kevin pollak
gravity,alfonso cuarón,science fiction thriller drama,sandra bullock george clooney ed harris,gravity alfonso cuarón science fiction thriller drama sandra bullock george clooney ed harris
captain phillips,paul greengrass,action drama thriller,tom hanks barkhad abdi catherine keener,captain phillips paul greengrass action drama thriller tom hanks barkhad abdi catherine keener
the devil's rapture,christian e. christiansen,horror thriller,rufus sewell alycia debnam-carey adelaide kane,the devil's rapture christian e. christiansen horror thriller rufus sewell alycia debnam-carey adelaide kane
the fifth estate,bill condon,drama thriller,benedict cumberbatch daniel brühl anthony mackie,the fifth estate bill condon drama thriller benedict cumberbatch daniel brühl anthony mackie
machete kills,robert rodriguez,action crime thriller,danny trejo mel gibson demián bichir,machete kills robert rodriguez action crime thriller danny trejo mel gibson demián bichir
12 years a slave,steve mcqueen,drama history,chiwetel ejiofor michael fassbender lupita nyong'o,12 years a slave steve mcqueen drama history chiwetel ejiofor michael fassbender lupita nyong'o
escape plan,mikael håfström,action thriller,sylvester stallone arnold schwarzenegger jim caviezel,escape plan mikael håfström action thriller sylvester stallone arnold schwarzenegger jim caviezel
i'm in love with a church girl,steve race,drama romance,ja rule adrienne bailon-houghton stephen baldwin,i'm in love with a church girl steve race drama romance ja rule adrienne bailon-houghton stephen baldwin
thor: the dark world,alan taylor,action adventure fantasy,chris hemsworth natalie portman tom hiddleston,thor: the dark world alan taylor action adventure fantasy chris hemsworth natalie portman tom hiddleston
bastards,brian james o'connell,comedy horror,fran kranz joey kern joel murray,bastards brian james o'connell comedy horror fran kranz joey kern joel murray
blue is the warmest colour,abdellatif kechiche,romance drama,adèle exarchopoulos léa seydoux salim kechiouche,blue is the warmest colour abdellatif kechiche romance drama adèle exarchopoulos léa seydoux salim kechiouche
the counselor,ridley scott,thriller crime drama,michael fassbender penélope cruz cameron diaz,the counselor ridley scott thriller crime drama michael fassbender penélope cruz cameron diaz
jackass presents: bad grandpa,jeff tremaine,comedy,johnny knoxville jackson nicoll georgina cates,jackass presents: bad grandpa jeff tremaine comedy johnny knoxville jackson nicoll georgina cates
spinning plates,joseph levy,documentary,grant achatz cindy breitbach mike breitbach,spinning plates joseph levy documentary grant achatz cindy breitbach mike breitbach
dallas buyers club,jean-marc vallée,drama history,matthew mcconaughey jared leto jennifer garner,dallas buyers club jean-marc vallée drama history matthew mcconaughey jared leto jennifer garner
ender's game,gavin hood,science fiction action adventure,asa butterfield harrison ford hailee steinfeld,ender's game gavin hood science fiction action adventure asa butterfield harrison ford hailee steinfeld
free birds,jimmy hayward,animation comedy family,owen wilson woody harrelson amy poehler,free birds jimmy hayward animation comedy family owen wilson woody harrelson amy poehler
last vegas,jon turteltaub,comedy,robert de niro morgan freeman michael douglas,last vegas jon turteltaub comedy robert de niro morgan freeman michael douglas
the book thief,brian percival,drama,geoffrey rush sophie nélisse emily watson,the book thief brian percival drama geoffrey rush sophie nélisse emily watson
the hunger games: catching fire,aldric la'auli porter,adventure action science fiction,jennifer lawrence josh hutcherson liam hemsworth,the hunger games: catching fire aldric la'auli porter adventure action science fiction jennifer lawrence josh hutcherson liam hemsworth
