Title,Director,Genre,Cast,combined
men in black: international,f. gary gray,comedy science fiction,chris hemsworth tessa thompson rebecca ferguson,men in black: international f. gary gray comedy science fiction chris hemsworth tessa thompson rebecca ferguson
the dead don't die,jim jarmusch,comedy horror fantasy,bill murray adam driver tilda swinton,the dead don't die jim jarmusch comedy horror fantasy bill murray adam driver tilda swinton
murder mystery,kyle newacheck,comedy,adam sandler jennifer aniston luke evans,murder mystery kyle newacheck comedy adam sandler jennifer aniston luke evans
plus one,jeff chan,romance comedy drama,maya erskine jack quaid ed begley jr.,plus one jeff chan romance comedy drama maya erskine jack quaid ed begley jr.
being frank,miranda bailey,comedy,jim gaffigan logan miller anna gunn,being frank miranda bailey comedy jim gaffigan logan miller anna gunn
toy story 4,josh cooley,family adventure animation comedy fantasy drama,tom hanks tim allen annie potts,toy story 4 josh cooley family adventure animation comedy fantasy drama tom hanks tim allen annie potts
anna,luc besson,thriller action,sasha luss helen mirren luke evans,anna luc besson thriller action sasha luss helen mirren luke evans
child's play,tom holland,horror,catherine hicks chris sarandon alex vincent,child's play tom holland horror catherine hicks chris sarandon alex vincent
annabelle comes home,jeffrey wetzel,horror thriller mystery,mckenna grace madison iseman katie sarife,annabelle comes home jeffrey wetzel horror thriller mystery mckenna grace madison iseman katie sarife
yesterday,danny boyle,music comedy romance fantasy,himesh patel lily james joel fry,yesterday danny boyle music comedy romance fantasy himesh patel lily james joel fry
ophelia,claire mccarthy,romance history,daisy ridley naomi watts george mackay,ophelia claire mccarthy romance history daisy ridley naomi watts george mackay
killers anonymous,martin owen,action thriller crime mystery,tommy flanagan jessica alba gary oldman,killers anonymous martin owen action thriller crime mystery tommy flanagan jessica alba gary oldman
spider-man: far from home,jon watts,action adventure science fiction,tom holland samuel l. jackson jake gyllenhaal,spider-man: far from home jon watts action adventure science fiction tom holland samuel l. jackson jake gyllenhaal
escape plan: the extractors,john herzfeld,action thriller crime,sylvester stallone dave bautista 50 cent,escape plan: the extractors john herzfeld action thriller crime sylvester stallone dave bautista 50 cent
midsommar,ari aster,horror drama mystery,florence pugh jack reynor william jackson harper,midsommar ari aster horror drama mystery florence pugh jack reynor william jackson harper
stuber,michael dowse,action comedy,dave bautista kumail nanjiani mira sorvino,stuber michael dowse action comedy dave bautista kumail nanjiani mira sorvino
crawl,christopher landry,thriller horror action,kaya scodelario barry pepper morfydd clark,crawl christopher landry thriller horror action kaya scodelario barry pepper morfydd clark
point blank,joe lynch,action thriller,anthony mackie frank grillo marcia gay harden,point blank joe lynch action thriller anthony mackie frank grillo marcia gay harden
the farewell,lulu wang,comedy drama,awkwafina tzi ma diana lin,the farewell lulu wang comedy drama awkwafina tzi ma diana lin
darlin',pollyanna mcintosh,horror mystery,lauryn canny bryan batt nora-jane noone,darlin' pollyanna mcintosh horror mystery lauryn canny bryan batt nora-jane noone
the lion king,roger allers,family animation drama,matthew broderick james earl jones jeremy irons,the lion king roger allers family animation drama matthew broderick james earl jones jeremy irons
once upon a time in hollywood,quentin tarantino,comedy drama thriller,leonardo dicaprio brad pitt margot robbie,once upon a time in hollywood quentin tarantino comedy drama thriller leonardo dicaprio brad pitt margot robbie
the red sea diving resort,gideon raff,drama thriller history,chris evans haley bennett alessandro nivola,the red sea diving resort gideon raff drama thriller history chris evans haley bennett alessandro nivola
fast & furious presents: hobbs & shaw,david leitch,action adventure comedy,dwayne johnson jason statham idris elba,fast & furious presents: hobbs & shaw david leitch action adventure comedy dwayne johnson jason statham idris elba
a score to settle,shawn ku,action thriller drama,nicolas cage benjamin bratt noah le gros,a score to settle shawn ku action thriller drama nicolas cage benjamin bratt noah le gros
the operative,yuval adler,drama thriller,diane kruger martin freeman cas anvar,the operative yuval adler drama thriller diane kruger martin freeman cas anvar
dora and the lost city of gold,james bobin,adventure comedy family,isabela merced jeffrey wahlberg madeleine madden,dora and the lost city of gold james bobin adventure comedy family isabela merced jeffrey wahlberg madeleine madden
the kitchen,andrea berloff,drama crime action,melissa mccarthy tiffany haddish elisabeth moss,the kitchen andrea berloff drama crime action melissa mccarthy tiffany haddish elisabeth moss
the art of racing in the rain,simon curtis,comedy drama romance,milo ventimiglia kevin costner amanda seyfried,the art of racing in the rain simon curtis comedy drama romance milo ventimiglia kevin costner amanda seyfried
scary stories to tell in the dark,andré øvredal,horror thriller,zoe colletti dean norris michael garza,scary stories to tell in the dark andré øvredal horror thriller zoe colletti dean norris michael garza
the peanut butter falcon,tyler nilson,adventure drama comedy,shia labeouf zack gottsagen dakota johnson,the peanut butter falcon tyler nilson adventure drama comedy shia labeouf zack gottsagen dakota johnson
after the wedding,bart freundlich,drama,julianne moore michelle williams billy crudup,after the wedding bart freundlich drama julianne moore michelle williams billy crudup
light of my life,casey affleck,science fiction drama,casey affleck anna pniowsky elisabeth moss,light of my life casey affleck science fiction drama casey affleck anna pniowsky elisabeth moss
the angry birds movie 2,john rice,animation comedy adventure family,jason sudeikis josh gad leslie jones,the angry birds movie 2 john rice animation comedy adventure family jason sudeikis josh gad leslie jones
good boys,gene stupnitsky,comedy,jacob tremblay brady noon keith l. williams,good boys gene stupnitsky comedy jacob tremblay brady noon keith l. williams
blinded by the light,gurinder chadha,drama comedy,viveik kalra nell williams hayley atwell,blinded by the light gurinder chadha drama comedy viveik kalra nell williams hayley atwell
"where'd you go, bernadette",richard linklater,drama comedy,cate blanchett billy crudup emma nelson,"where'd you go, bernadette richard linklater drama comedy cate blanchett billy crudup emma nelson"
47 meters down: uncaged,johannes roberts,horror drama adventure,sophie nélisse corinne foxx brianne tju,47 meters down: uncaged johannes roberts horror drama adventure sophie nélisse corinne foxx brianne tju
gwen,william mcgregor,drama mystery horror history,eleanor worthington-cox maxine peake richard harrington,gwen william mcgregor drama mystery horror history eleanor worthington-cox maxine peake richard harrington
ready or not,joanna moore,comedy horror thriller,samara weaving adam brody mark o'brien,ready or not joanna moore comedy horror thriller samara weaving adam brody mark o'brien
angel has fallen,vic armstrong,action thriller,gerard butler morgan freeman jada pinkett smith,angel has fallen vic armstrong action thriller gerard butler morgan freeman jada pinkett smith
brittany runs a marathon,paul downs colaizzo,comedy drama,jillian bell michaela watkins utkarsh ambudkar,brittany runs a marathon paul downs colaizzo comedy drama jillian bell michaela watkins utkarsh ambudkar
overcomer,alex kendrick,drama,alex kendrick priscilla c. shirer cameron arnett,overcomer alex kendrick drama alex kendrick priscilla c. shirer cameron arnett
jacob's ladder,adrian lyne,drama mystery horror,tim robbins elizabeth peña danny aiello,jacob's ladder adrian lyne drama mystery horror tim robbins elizabeth peña danny aiello
burn,mike gan,thriller,tilda cobham-hervey josh hutcherson suki waterhouse,burn mike gan thriller tilda cobham-hervey josh hutcherson suki waterhouse
official secrets,gavin hood,thriller history drama,keira knightley matt smith ralph fiennes,official secrets gavin hood thriller history drama keira knightley matt smith ralph fiennes
don't let go,jacob aaron estes,science fiction thriller mystery crime,david oyelowo storm reid mykelti williamson,don't let go jacob aaron estes science fiction thriller mystery crime david oyelowo storm reid mykelti williamson
itsy bitsy,micah gallo,horror thriller,bruce davison denise crosby elizabeth roberts,itsy bitsy micah gallo horror thriller bruce davison denise crosby elizabeth roberts
the fanatic,fred durst,crime thriller,john travolta devon sawa ana golja,the fanatic fred durst crime thriller john travolta devon sawa ana golja
it chapter two,william waring,horror fantasy,bill skarsgård james mcavoy jessica chastain,it chapter two william waring horror fantasy bill skarsgård james mcavoy jessica chastain
satanic panic,jason matthews,horror comedy,hayley griffith rebecca romijn arden myrin,satanic panic jason matthews horror comedy hayley griffith rebecca romijn arden myrin
the obituary of tunde johnson,ali leroi,drama thriller,steven silver spencer neville nicola peltz,the obituary of tunde johnson ali leroi drama thriller steven silver spencer neville nicola peltz
the goldfinch,john crowley,drama,ansel elgort oakes fegley nicole kidman,the goldfinch john crowley drama ansel elgort oakes fegley nicole kidman
hustlers,lorene scafaria,drama comedy crime,constance wu jennifer lopez julia stiles,hustlers lorene scafaria drama comedy crime constance wu jennifer lopez julia stiles
the sound of silence,michael tyburski,drama,peter sarsgaard rashida jones tony revolori,the sound of silence michael tyburski drama peter sarsgaard rashida jones tony revolori
monos,alejandro landes,drama war,moisés arias julianne nicholson sofia buenaventura,monos alejandro landes drama war moisés arias julianne nicholson sofia buenaventura
tall girl,nzingha stewart,comedy drama romance,ava michelle sabrina carpenter steve zahn,tall girl nzingha stewart comedy drama romance ava michelle sabrina carpenter steve zahn
ad astra,dan bradley,science fiction drama,brad pitt tommy lee jones ruth negga,ad astra dan bradley science fiction drama brad pitt tommy lee jones ruth negga
downton abbey,michael engler,drama romance history,hugh bonneville jim carter michelle dockery,downton abbey michael engler drama romance history hugh bonneville jim carter michelle dockery
rambo: last blood,adrian grünberg,action thriller drama,sylvester stallone paz vega sergio peris-mencheta,rambo: last blood adrian grünberg action thriller drama sylvester stallone paz vega sergio peris-mencheta
bloodline,henry jacobson,thriller crime horror,seann william scott mariela garriga dale dickey,bloodline henry jacobson thriller crime horror seann william scott mariela garriga dale dickey
running with the devil,andrés barrientos,action,nicolas cage leslie bibb peter facinelli,running with the devil andrés barrientos action nicolas cage leslie bibb peter facinelli
fractured,brad anderson,thriller,sam worthington lily rabe stephen tobolowsky,fractured brad anderson thriller sam worthington lily rabe stephen tobolowsky
abominable,jill culton,family animation adventure comedy,chloe bennet albert tsai tenzing norgay trainor,abominable jill culton family animation adventure comedy chloe bennet albert tsai tenzing norgay trainor
the laundromat,steven soderbergh,drama crime comedy,meryl streep gary oldman antonio banderas,the laundromat steven soderbergh drama crime comedy meryl streep gary oldman antonio banderas
judy,rupert goold,drama history music,renée zellweger rufus sewell finn wittrock,judy rupert goold drama history music renée zellweger rufus sewell finn wittrock
prey,thomas sieben,thriller,david kross hanno koffler maria ehrich,prey thomas sieben thriller david kross hanno koffler maria ehrich
joker,todd phillips,crime thriller drama,joaquin phoenix robert de niro zazie beetz,joker todd phillips crime thriller drama joaquin phoenix robert de niro zazie beetz
lucy in the sky,noah hawley,drama science fiction thriller,natalie portman jon hamm zazie beetz,lucy in the sky noah hawley drama science fiction thriller natalie portman jon hamm zazie beetz
dolemite is my name,craig brewer,drama comedy history,eddie murphy keegan-michael key mike epps,dolemite is my name craig brewer drama comedy history eddie murphy keegan-michael key mike epps
in the tall grass,vincenzo natali,horror drama thriller,patrick wilson harrison gilbertson laysla de oliveira,in the tall grass vincenzo natali horror drama thriller patrick wilson harrison gilbertson laysla de oliveira
low tide,kevin mcmullin,drama thriller,jaeden martell keean johnson shea whigham,low tide kevin mcmullin drama thriller jaeden martell keean johnson shea whigham
wrinkles the clown,michael beach nichols,documentary,unknown,wrinkles the clown michael beach nichols documentary unknown
little monsters,richard greenberg,adventure fantasy comedy family,fred savage howie mandel daniel stern,little monsters richard greenberg adventure fantasy comedy family fred savage howie mandel daniel stern
gemini man,ang lee,science fiction action thriller,will smith mary elizabeth winstead clive owen,gemini man ang lee science fiction action thriller will smith mary elizabeth winstead clive owen
the addams family,conrad vernon,animation adventure comedy family,oscar isaac charlize theron javon 'wanna' walton,the addams family conrad vernon animation adventure comedy family oscar isaac charlize theron javon 'wanna' walton
the king,gordon chan,action thriller science fiction,sean faris maggie q ray park,the king gordon chan action thriller science fiction sean faris maggie q ray park
jexi,jon lucas,comedy,adam devine alexandra shipp rose byrne,jexi jon lucas comedy adam devine alexandra shipp rose byrne
polaroid,lars klevberg,horror thriller mystery,kathryn prescott tyler young samantha logan,polaroid lars klevberg horror thriller mystery kathryn prescott tyler young samantha logan
el camino: a breaking bad movie,vince gilligan,crime drama thriller action,aaron paul jesse plemons charles baker,el camino: a breaking bad movie vince gilligan crime drama thriller action aaron paul jesse plemons charles baker
maleficent: mistress of evil,joachim rønning,family fantasy adventure,angelina jolie elle fanning harris dickinson,maleficent: mistress of evil joachim rønning family fantasy adventure angelina jolie elle fanning harris dickinson
zombieland: double tap,k.c. hodenfield,horror comedy,woody harrelson jesse eisenberg emma stone,zombieland: double tap k.c. hodenfield horror comedy woody harrelson jesse eisenberg emma stone
jojo rabbit,taika waititi,comedy war drama,roman griffin davis thomasin mckenzie scarlett johansson,jojo rabbit taika waititi comedy war drama roman griffin davis thomasin mckenzie scarlett johansson
the lighthouse,robert eggers,drama fantasy thriller horror,robert pattinson willem dafoe valeriia karaman,the lighthouse robert eggers drama fantasy thriller horror robert pattinson willem dafoe valeriia karaman
wounds,babak anvari,horror mystery thriller,armie hammer dakota johnson zazie beetz,wounds babak anvari horror mystery thriller armie hammer dakota johnson zazie beetz
black and blue,kevin o'neill,action thriller,naomie harris tyrese gibson frank grillo,black and blue kevin o'neill action thriller naomie harris tyrese gibson frank grillo
the current war,alex oakley,drama history,benedict cumberbatch michael shannon nicholas hoult,the current war alex oakley drama history benedict cumberbatch michael shannon nicholas hoult
countdown,nicolas harvard,horror thriller,elizabeth lail jordan calloway talitha bateman,countdown nicolas harvard horror thriller elizabeth lail jordan calloway talitha bateman
the kill team,dan krauss,war action drama,nat wolff alexander skarsgård adam long,the kill team dan krauss war action drama nat wolff alexander skarsgård adam long
the gallows act ii,travis cluff,horror thriller,ema horvath chris milligan brittany falardeau,the gallows act ii travis cluff horror thriller ema horvath chris milligan brittany falardeau
terminator: dark fate,tim miller,action adventure science fiction,linda hamilton arnold schwarzenegger mackenzie davis,terminator: dark fate tim miller action adventure science fiction linda hamilton arnold schwarzenegger mackenzie davis
motherless brooklyn,edward norton,drama thriller,edward norton bruce willis gugu mbatha-raw,motherless brooklyn edward norton drama thriller edward norton bruce willis gugu mbatha-raw
the irishman,martin scorsese,crime drama history,robert de niro al pacino joe pesci,the irishman martin scorsese crime drama history robert de niro al pacino joe pesci
harriet,kasi lemmons,drama history,cynthia erivo leslie odom jr. joe alwyn,harriet kasi lemmons drama history cynthia erivo leslie odom jr. joe alwyn
arctic dogs,aaron woodley,animation adventure comedy,james franco jeremy renner alec baldwin,arctic dogs aaron woodley animation adventure comedy james franco jeremy renner alec baldwin
marriage story,noah baumbach,drama,adam driver scarlett johansson laura dern,marriage story noah baumbach drama adam driver scarlett johansson laura dern
doctor sleep,eric brevig,horror thriller,ewan mcgregor kyliegh curran rebecca ferguson,doctor sleep eric brevig horror thriller ewan mcgregor kyliegh curran rebecca ferguson
last christmas,paul feig,comedy romance drama,emilia clarke henry golding michelle yeoh,last christmas paul feig comedy romance drama emilia clarke henry golding michelle yeoh
playing with fire,andy fickman,comedy family,john cena keegan-michael key john leguizamo,playing with fire andy fickman comedy family john cena keegan-michael key john leguizamo
let it snow,luke snellin,romance comedy,joan cusack isabela merced odeya rush,let it snow luke snellin romance comedy joan cusack isabela merced odeya rush
midway,roland emmerich,war history action drama,ed skrein patrick wilson woody harrelson,midway roland emmerich war history action drama ed skrein patrick wilson woody harrelson
klaus,sergio pablos,animation family adventure comedy,jason schwartzman j.k. simmons rashida jones,klaus sergio pablos animation family adventure comedy jason schwartzman j.k. simmons rashida jones
honey boy,alma har'el,drama,shia labeouf lucas hedges noah jupe,honey boy alma har'el drama shia labeouf lucas hedges noah jupe
lady and the tramp,hamilton luske,family animation romance,barbara luddy larry roberts peggy lee,lady and the tramp hamilton luske family animation romance barbara luddy larry roberts peggy lee
ford v ferrari,james mangold,drama action history,christian bale matt damon jon bernthal,ford v ferrari james mangold drama action history christian bale matt damon jon bernthal
the good liar,bill condon,crime,helen mirren ian mckellen russell tovey,the good liar bill condon crime helen mirren ian mckellen russell tovey
the report,scott z. burns,thriller drama,adam driver annette bening jon hamm,the report scott z. burns thriller drama adam driver annette bening jon hamm
waves,trey edward shults,romance drama,kelvin harrison jr. taylor russell renée elise goldsberry,waves trey edward shults romance drama kelvin harrison jr. taylor russell renée elise goldsberry
frozen ii,chris buck,family animation adventure comedy fantasy,kristen bell idina menzel josh gad,frozen ii chris buck family animation adventure comedy fantasy kristen bell idina menzel josh gad
a beautiful day in the neighborhood,marielle heller,drama history,matthew rhys tom hanks chris cooper,a beautiful day in the neighborhood marielle heller drama history matthew rhys tom hanks chris cooper
21 bridges,brian kirk,crime action drama,chadwick boseman sienna miller j.k. simmons,21 bridges brian kirk crime action drama chadwick boseman sienna miller j.k. simmons
dark waters,todd haynes,drama thriller history,mark ruffalo anne hathaway tim robbins,dark waters todd haynes drama thriller history mark ruffalo anne hathaway tim robbins
knives out,rian johnson,comedy drama crime mystery,daniel craig chris evans ana de armas,knives out rian johnson comedy drama crime mystery daniel craig chris evans ana de armas
queen & slim,melina matsoukas,drama romance crime,daniel kaluuya jodie turner-smith bokeem woodbine,queen & slim melina matsoukas drama romance crime daniel kaluuya jodie turner-smith bokeem woodbine
the two popes,fernando meirelles,drama comedy history,anthony hopkins jonathan pryce juan minujín,the two popes fernando meirelles drama comedy history anthony hopkins jonathan pryce juan minujín
playmobil: the movie,lino disalvo,family animation comedy adventure,anya taylor-joy gabriel bateman jim gaffigan,playmobil: the movie lino disalvo family animation comedy adventure anya taylor-joy gabriel bateman jim gaffigan
the aeronauts,tom harper,adventure drama romance,eddie redmayne felicity jones tom courtenay,the aeronauts tom harper adventure drama romance eddie redmayne felicity jones tom courtenay
a million little pieces,sam taylor-johnson,drama,aaron taylor-johnson billy bob thornton odessa young,a million little pieces sam taylor-johnson drama aaron taylor-johnson billy bob thornton odessa young
daniel isn't real,adam egypt mortimer,horror mystery,miles robbins patrick schwarzenegger sasha lane,daniel isn't real adam egypt mortimer horror mystery miles robbins patrick schwarzenegger sasha lane
jumanji: the next level,jake kasdan,adventure comedy fantasy,dwayne johnson kevin hart jack black,jumanji: the next level jake kasdan adventure comedy fantasy dwayne johnson kevin hart jack black
richard jewell,clint eastwood,drama history crime,paul walter hauser jon hamm kathy bates,richard jewell clint eastwood drama history crime paul walter hauser jon hamm kathy bates
6 underground,michael bay,action thriller comedy,ryan reynolds mélanie laurent manuel garcia-rulfo,6 underground michael bay action thriller comedy ryan reynolds mélanie laurent manuel garcia-rulfo
bombshell,jay roach,drama history,charlize theron nicole kidman margot robbie,bombshell jay roach drama history charlize theron nicole kidman margot robbie
uncut gems,josh safdie,drama thriller crime,adam sandler julia fox lakeith stanfield,uncut gems josh safdie drama thriller crime adam sandler julia fox lakeith stanfield
seberg,nicholas mastandrea,thriller drama,kristen stewart jack o'connell anthony mackie,seberg nicholas mastandrea thriller drama kristen stewart jack o'connell anthony mackie
a hidden life,terrence malick,drama war history,august diehl valerie pachner maria simon,a hidden life terrence malick drama war history august diehl valerie pachner maria simon
star wars: the rise of skywalker,j.j. abrams,action adventure science fiction,carrie fisher mark hamill daisy ridley,star wars: the rise of skywalker j.j. abrams action adventure science fiction carrie fisher mark hamill daisy ridley
cats,lawrence guterman,family comedy,jeff goldblum elizabeth perkins alexander pollock,cats lawrence guterman family comedy jeff goldblum elizabeth perkins alexander pollock
togo,ericson core,adventure family,willem dafoe julianne nicholson christopher heyerdahl,togo ericson core adventure family willem dafoe julianne nicholson christopher heyerdahl
spies in disguise,troy quane,animation action adventure comedy family,will smith tom holland ben mendelsohn,spies in disguise troy quane animation action adventure comedy family will smith tom holland ben mendelsohn
little women,greta gerwig,drama romance,saoirse ronan florence pugh emma watson,little women greta gerwig drama romance saoirse ronan florence pugh emma watson
1917,sam mendes,war drama action thriller,george mackay dean-charles chapman mark strong,1917 sam mendes war drama action thriller george mackay dean-charles chapman mark strong
just mercy,destin daniel cretton,drama crime history,michael b. jordan brie larson jamie foxx,just mercy destin daniel cretton drama crime history michael b. jordan brie larson jamie foxx
clemency,chinonye chukwu,drama,alfre woodard richard schiff aldis hodge,clemency chinonye chukwu drama alfre woodard richard schiff aldis hodge
underwater,william eubank,action horror science fiction thriller,kristen stewart vincent cassel mamoudou athie,underwater william eubank action horror science fiction thriller kristen stewart vincent cassel mamoudou athie
like a boss,miguel arteta,comedy,tiffany haddish rose byrne salma hayek,like a boss miguel arteta comedy tiffany haddish rose byrne salma hayek
three christs,jon avnet,drama,richard gere peter dinklage walton goggins,three christs jon avnet drama richard gere peter dinklage walton goggins
inherit the viper,chad rosen,crime thriller drama,josh hartnett margarita levieva owen teague,inherit the viper chad rosen crime thriller drama josh hartnett margarita levieva owen teague
the sonata,andrew desmond,horror thriller mystery,freya tingley simon abkarian rutger hauer,the sonata andrew desmond horror thriller mystery freya tingley simon abkarian rutger hauer
the murder of nicole brown simpson,daniel farrands,thriller drama crime,mena suvari nick stahl taryn manning,the murder of nicole brown simpson daniel farrands thriller drama crime mena suvari nick stahl taryn manning
bad boys for life,steve danton,thriller action crime,will smith martin lawrence paola nuñez,bad boys for life steve danton thriller action crime will smith martin lawrence paola nuñez
dolittle,stephen gaghan,family fantasy adventure,robert downey jr. antonio banderas michael sheen,dolittle stephen gaghan family fantasy adventure robert downey jr. antonio banderas michael sheen
a fall from grace,tyler perry,drama fantasy thriller,crystal r. fox phylicia rashād bresha webb,a fall from grace tyler perry drama fantasy thriller crystal r. fox phylicia rashād bresha webb
the gentlemen,guy ritchie,crime action comedy drama,matthew mcconaughey charlie hunnam henry golding,the gentlemen guy ritchie crime action comedy drama matthew mcconaughey charlie hunnam henry golding
the turning,floria sigismondi,horror thriller,mackenzie davis finn wolfhard brooklynn prince,the turning floria sigismondi horror thriller mackenzie davis finn wolfhard brooklynn prince
the last full measure,todd robinson,war drama,sebastian stan christopher plummer william hurt,the last full measure todd robinson war drama sebastian stan christopher plummer william hurt
john henry,mark henn,animation drama family,alfre woodard tim hodge geoffrey jones,john henry mark henn animation drama family alfre woodard tim hodge geoffrey jones
the rhythm section,reed morano,action thriller,blake lively jude law sterling k. brown,the rhythm section reed morano action thriller blake lively jude law sterling k. brown
gretel & hansel,oz perkins,horror fantasy thriller,sophia lillis samuel leakey alice krige,gretel & hansel oz perkins horror fantasy thriller sophia lillis samuel leakey alice krige
the assistant,kitty green,drama,julia garner matthew macfadyen makenzie leigh,the assistant kitty green drama julia garner matthew macfadyen makenzie leigh
birds of prey,chad stahelski,action crime,margot robbie ewan mcgregor mary elizabeth winstead,birds of prey chad stahelski action crime margot robbie ewan mcgregor mary elizabeth winstead
the lodge,veronika franz,drama horror thriller,riley keough jaeden martell lia mchugh,the lodge veronika franz drama horror thriller riley keough jaeden martell lia mchugh
timmy failure: mistakes were made,tom mccarthy,family mystery comedy fantasy,winslow fegley ophelia lovibond wallace shawn,timmy failure: mistakes were made tom mccarthy family mystery comedy fantasy winslow fegley ophelia lovibond wallace shawn
horse girl,jeff baena,drama,alison brie debby ryan john reynolds,horse girl jeff baena drama alison brie debby ryan john reynolds
to all the boys: p.s. i still love you,michael fimognari,romance comedy,lana condor noah centineo jordan fisher,to all the boys: p.s. i still love you michael fimognari romance comedy lana condor noah centineo jordan fisher
sonic the hedgehog,david arnold,action science fiction comedy family,ben schwartz james marsden jim carrey,sonic the hedgehog david arnold action science fiction comedy family ben schwartz james marsden jim carrey
fantasy island,jeff wadlow,horror fantasy adventure mystery,michael peña maggie q lucy hale,fantasy island jeff wadlow horror fantasy adventure mystery michael peña maggie q lucy hale
the photograph,stella meghie,drama romance,issa rae lakeith stanfield chanté adams,the photograph stella meghie drama romance issa rae lakeith stanfield chanté adams
downhill,nat faxon,drama comedy,julia louis-dreyfus will ferrell miranda otto,downhill nat faxon drama comedy julia louis-dreyfus will ferrell miranda otto
spy intervention,drew mylrea,action adventure comedy,poppy delevingne drew van acker dave sheridan,spy intervention drew mylrea action adventure comedy poppy delevingne drew van acker dave sheridan
the kindness of strangers,lone scherfig,drama,zoe kazan andrea riseborough tahar rahim,the kindness of strangers lone scherfig drama zoe kazan andrea riseborough tahar rahim
the call of the wild,chris sanders,adventure family drama,harrison ford dan stevens colin woodell,the call of the wild chris sanders adventure family drama harrison ford dan stevens colin woodell
the last thing he wanted,dee rees,drama thriller,anne hathaway ben affleck rosie perez,the last thing he wanted dee rees drama thriller anne hathaway ben affleck rosie perez
brahms: the boy ii,william brent bell,horror mystery thriller,katie holmes christopher convery owain yeoman,brahms: the boy ii william brent bell horror mystery thriller katie holmes christopher convery owain yeoman
emma,autumn de wilde,comedy romance,anya taylor-joy johnny flynn josh o'connor,emma autumn de wilde comedy romance anya taylor-joy johnny flynn josh o'connor
the night clerk,michael cristofer,thriller crime drama,tye sheridan ana de armas helen hunt,the night clerk michael cristofer thriller crime drama tye sheridan ana de armas helen hunt
impractical jokers: the movie,chris henchy,comedy,paula abdul joe gatto james murray,impractical jokers: the movie chris henchy comedy paula abdul joe gatto james murray
the invisible man,leigh whannell,thriller science fiction horror,elisabeth moss aldis hodge storm reid,the invisible man leigh whannell thriller science fiction horror elisabeth moss aldis hodge storm reid
all the bright places,brett haley,romance drama,elle fanning justice smith alexandra shipp,all the bright places brett haley romance drama elle fanning justice smith alexandra shipp
wendy,benh zeitlin,fantasy adventure family,devin france shay walker tommie lynn milazzo,wendy benh zeitlin fantasy adventure family devin france shay walker tommie lynn milazzo
guns akimbo,jason lei howden,comedy action,daniel radcliffe samara weaving natasha liu bordizzo,guns akimbo jason lei howden comedy action daniel radcliffe samara weaving natasha liu bordizzo
onward,dan scanlon,family animation adventure comedy fantasy,tom holland chris pratt julia louis-dreyfus,onward dan scanlon family animation adventure comedy fantasy tom holland chris pratt julia louis-dreyfus
the way back,gavin o'connor,drama,ben affleck al madrigal michaela watkins,the way back gavin o'connor drama ben affleck al madrigal michaela watkins
spenser confidential,jeffrey j. dashnaw,comedy action thriller,mark wahlberg winston duke alan arkin,spenser confidential jeffrey j. dashnaw comedy action thriller mark wahlberg winston duke alan arkin
the banker,george nolfi,drama,anthony mackie samuel l. jackson nicholas hoult,the banker george nolfi drama anthony mackie samuel l. jackson nicholas hoult
the burnt orange heresy,giuseppe capotondi,thriller drama mystery,claes bang elizabeth debicki mick jagger,the burnt orange heresy giuseppe capotondi thriller drama mystery claes bang elizabeth debicki mick jagger
swallow,kunle afolayan,drama history thriller crime,chioma chukwuka akpotha deyemi okanlawon eniola 'niyola' akinbo,swallow kunle afolayan drama history thriller crime chioma chukwuka akpotha deyemi okanlawon eniola 'niyola' akinbo
first cow,kelly reichardt,drama western,john magaro orion lee toby jones,first cow kelly reichardt drama western john magaro orion lee toby jones
bloodshot,steve decastro,action science fiction,vin diesel eiza gonzález sam heughan,bloodshot steve decastro action science fiction vin diesel eiza gonzález sam heughan
the hunt,craig zobel,action thriller horror,betty gilpin hilary swank ethan suplee,the hunt craig zobel action thriller horror betty gilpin hilary swank ethan suplee
i still believe,jon erwin,music drama romance,k.j. apa britt robertson nathan parsons,i still believe jon erwin music drama romance k.j. apa britt robertson nathan parsons
lost girls,liz garbus,drama mystery thriller history,amy ryan thomasin mckenzie lola kirke,lost girls liz garbus drama mystery thriller history amy ryan thomasin mckenzie lola kirke
stargirl,laura jean bransky,comedy drama romance family,grace vanderwaal graham verchere karan brar,stargirl laura jean bransky comedy drama romance family grace vanderwaal graham verchere karan brar
the roads not taken,sally potter,drama,javier bardem elle fanning salma hayek,the roads not taken sally potter drama javier bardem elle fanning salma hayek
never rarely sometimes always,eliza hittman,drama,sidney flanigan talia ryder théodore pellerin,never rarely sometimes always eliza hittman drama sidney flanigan talia ryder théodore pellerin
big time adolescence,jason orley,comedy,griffin gluck pete davidson jon cryer,big time adolescence jason orley comedy griffin gluck pete davidson jon cryer
lost transmissions,katharine o'brien,drama,simon pegg juno temple alexandra daddario,lost transmissions katharine o'brien drama simon pegg juno temple alexandra daddario
resistance,benedict hoermann,war history drama,jesse eisenberg ed harris clémence poésy,resistance benedict hoermann war history drama jesse eisenberg ed harris clémence poésy
uncorked,prentice penny,drama comedy,mamoudou athie courtney b. vance niecy nash,uncorked prentice penny drama comedy mamoudou athie courtney b. vance niecy nash
vivarium,lorcan finnegan,science fiction horror mystery,imogen poots jesse eisenberg eanna hardwicke,vivarium lorcan finnegan science fiction horror mystery imogen poots jesse eisenberg eanna hardwicke
