Title,Director,Genre,Cast
The Other Guys,William M. Connor,Comedy Action Crime,Will Ferrell Mark Wahlberg Eva Mendes
Step Up 3D,Jon M. Chu,Drama Romance,Rick Malambri Adam G. Sevani Joe Slaughter
Brotherhood,Noel Clarke,Crime Drama,Noel Clarke Arnold Oceng Shanika Warren-Markland
Cairo Time,Ruba Nadda,Drama Romance,Patricia Clarkson Alexander Siddig Elena Anaya
The Disappearance of Alice Creed,J Blakeson,Crime Drama Thriller,Gemma Arterton Martin Compston Eddie Marsan
Lebanon,Samuel Maoz,Drama War,Oshri Cohen Michael Moshonov Yoav Donat
Middle Men,George Gallo,Drama Comedy Crime,Luke Wilson Giovanni Ribisi Gabriel Macht
"Patrik, Age 1.5",Ella Lemhagen,Drama Comedy,Gustaf Skarsgård Torkel Petersson Tom Ljungman
Spring Fever,Ti West,Horror,Rider Strong Noah Segan Alexi Wasser
Twelve,Steven Soderbergh,Thriller Crime,George Clooney Brad Pitt Matt Damon
The Wildest Dream,Anthony Geffen,Documentary,Liam Neeson Natasha Richardson Conrad Anker
Strawberry Shortcake: The Glimmerberry Ball Movie,Michael Hack,Animation Family,Anna Cummer Andrea Libman Ashleigh Ball
Eat Pray Love,Ryan Murphy,Drama Romance,Julia Roberts Javier Bardem James Franco
The Expendables,Sylvester Stallone,Thriller Adventure Action,Sylvester Stallone Jason Statham Jet Li
Scott Pilgrim vs. the World,Edgar Wright,Action Comedy Fantasy Romance,Michael Cera Mary Elizabeth Winstead Ellen Wong
Animal Kingdom,David Michôd,Drama Thriller Crime Mystery,James Frecheville Ben Mendelsohn Joel Edgerton
Double Negative,Amie Siegel,unknown,
Neshoba,Micki Dickoff,Documentary,
The People I've Slept With,Quentin Lee,Comedy Romance,Karin Anna Cheung Wilson Cruz Archie Kao
Salt of this Sea,Annemarie Jacir,Drama Romance,Suheir Hammad Saleh Bakri Riyad Ideis
La Soga,Manny Pérez,Action Crime Drama,Manny Pérez Sarah Jorge León Hada Vanessa
Tales from Earthsea,Goro Miyazaki,Animation Fantasy Adventure,Junichi Okada Aoi Teshima Bunta Sugawara
Vampires Suck,Jason Friedberg,Comedy,Jenn Proske Chris Riggi Matt Lanter
Lottery Ticket,Erik White,Comedy,Shad Moss Brandon T. Jackson Naturi Naughton
Nanny McPhee and the Big Bang,Susanna White,Comedy Fantasy Family,Emma Thompson Asa Butterfield Ralph Fiennes
Piranha 3D,Alexandre Aja,Comedy Horror,Elisabeth Shue Jerry O'Connell Steven R. McQueen
The Switch,Josh Gordon,Comedy Romance Drama,Jason Bateman Jennifer Aniston Jeff Goldblum
The Army of Crime,Robert Guédiguian,War Drama History,Simon Abkarian Virginie Ledoyen Robinson Stévenin
Mao's Last Dancer,Bruce Beresford,Drama Romance,Chi Cao Chengwu Guo Joan Chen
Soul Kitchen,Fatih Akın,Drama Comedy,Adam Bousdoukos Birol Ünel Moritz Bleibtreu
The Tillman Story,Amir Bar-Lev,Documentary,Pat Tillman Richard Tillman
What If...,Michael Dowse,Drama Comedy Romance,Daniel Radcliffe Zoe Kazan Megan Park
The Last Exorcism,Daniel Stamm,Horror Thriller,Ashley Bell Patrick Fabian Iris Bahr
Takers,John Luessenhop,Action Crime Drama Thriller,Idris Elba Paul Walker Matt Dillon
Avatar: Special Edition,James Cameron,Action Adventure Fantasy Science Fiction,Sam Worthington Zoe Saldana Sigourney Weaver
Centurion,Neil Marshall,Adventure Action Drama,Michael Fassbender Olga Kurylenko David Morrissey
Make-out with Violence,Deagol Brothers,Comedy Fantasy Horror Romance,Leah High Brett Miller Tia Shearer
Mesrine,André Génovès,Crime Drama,Nicolas Silberg Caroline Aguilar Gérard Sergue
The Milk of Sorrow,Claudia Llosa,Drama,Magaly Solier Susi Sánchez Efraín Solís
The American,Anton Corbijn,Crime Drama Thriller,George Clooney Violante Placido Thekla Reuten
Going the Distance,Mark Griffiths,Comedy Romance,Christopher Jacot Joanne Kelly Shawn Roberts
Machete,Robert Rodriguez,Action Comedy Thriller,Danny Trejo Michelle Rodriguez Jessica Alba
Barbie: A Fashion Fairytale,William Lau,Family Animation,Diana Kaarina Adrian Petriw Tabitha St. Germain
Resident Evil: Afterlife,Paul W. S. Anderson,Action Adventure Horror Science Fiction,Milla Jovovich Wentworth Miller Ali Larter
The Virginity Hit,Huck Botko,Comedy,Matt Bennett Zack Pearlman Jacob Davich
Repeaters,Carl Bessai,Drama Action Crime Science Fiction,Dustin Milligan Amanda Crew Richard de Klerk
Never Let Me Go,Mark Romanek,Drama Romance Science Fiction,Carey Mulligan Keira Knightley Andrew Garfield
Alpha and Omega,Ben Gluck,Animation Family Comedy Adventure Romance,Hayden Panettiere Justin Long Dennis Hopper
Devil,John Erick Dowdle,Horror Mystery Thriller,Chris Messina Bojana Novaković Logan Marshall-Green
Easy A,Will Gluck,Comedy,Emma Stone Cam Gigandet Amanda Bynes
The Town,Ben Affleck,Crime Drama Thriller,Ben Affleck Rebecca Hall Jeremy Renner
Catfish,Henry Joost,Documentary,Angela Wesselman-Pierce Nev Schulman
Jack Goes Boating,Philip Seymour Hoffman,Comedy Drama Romance,Philip Seymour Hoffman John Ortiz Richard Petrocelli
Last Day of Summer,Sue Perrotto,Animation Family Comedy Science Fiction,Vincent Martella Ashley Tisdale Thomas Brodie-Sangster
Leaves of Grass,Tim Blake Nelson,Comedy Crime Thriller,Edward Norton Susan Sarandon Richard Dreyfuss
You Will Meet a Tall Dark Stranger,Woody Allen,Comedy Drama Romance,Gemma Jones Pauline Collins Anthony Hopkins
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Animation Adventure Family Fantasy,Jim Sturgess Ryan Kwanten Hugo Weaving
Wall Street: Money Never Sleeps,Oliver Stone,Drama Crime,Michael Douglas Shia LaBeouf Josh Brolin
You Again,Andy Fickman,Comedy Romance,Kristen Bell Jamie Lee Curtis Sigourney Weaver
Buried,Rodrigo Cortés,Drama Thriller Mystery,Ryan Reynolds José Luis García Pérez Robert Paterson
Like Dandelion Dust,Jon Gunn,Drama,Mira Sorvino Barry Pepper Cole Hauser
Norwegian Wood,Tran Anh Hung,Drama Romance,Kenichi Matsuyama Rinko Kikuchi Kiko Mizuhara
Case 39,Christian Alvart,Horror Mystery Thriller,Renée Zellweger Jodelle Ferland Ian McShane
Hatchet II,Adam Green,Horror Comedy Thriller,Danielle Harris Alexis Kendra Kane Hodder
Let Me In,Matt Reeves,Drama Horror Mystery,Kodi Smit-McPhee Chloë Grace Moretz Richard Jenkins
The Social Network,David Fincher,Drama,Jesse Eisenberg Andrew Garfield Justin Timberlake
Spookley the Square Pumpkin,Bernie Denk,Animation Family,Sonja Ball Bruce Dinsmore Craig Francis
It's Kind of a Funny Story,Ryan Fleck,Comedy Drama,Keir Gilchrist Emma Roberts Viola Davis
Life as We Know It,Greg Berlanti,Comedy Romance Drama,Josh Duhamel Katherine Heigl Josh Lucas
My Soul to Take,Wes Craven,Horror Mystery,Max Thieriot John Magaro Denzel Whitaker
Secretariat,Randall Wallace,Drama,Diane Lane John Malkovich Scott Glenn
I Spit on Your Grave,Steven R. Monroe,Thriller Crime Horror,Sarah Butler Jeff Branson Tracey Walter
Inside Job,Charles Ferguson,Documentary,Matt Damon William Ackman Barack Obama
It's a Wonderful Afterlife,Gurinder Chadha,Comedy Romance,Shabana Azmi Goldy Notay Sendhil Ramamurthy
Nowhere Boy,Sam Taylor-Johnson,Drama,Aaron Taylor-Johnson Anne-Marie Duff Kristin Scott Thomas
Stone,David R. Ellis,Adventure Fantasy,Daniel Radcliffe Rupert Grint Emma Watson
Tamara Drewe,Stephen Frears,Comedy Romance,Gemma Arterton Roger Allam Bill Camp
Wild Target,Jonathan Lynn,Action Comedy,Bill Nighy Emily Blunt Rupert Grint
Jackass 3D,Jeff Tremaine,Comedy Documentary Action,Johnny Knoxville Bam Margera Ryan Dunn
Red,Rawson Marshall Thurber,Action Comedy Crime Thriller,Dwayne Johnson Ryan Reynolds Gal Gadot
Carlos,Olivier Assayas,Crime Drama Thriller History,Edgar Ramírez Alexander Scheer Nora Waldstätten
Conviction,Tony Goldwyn,Drama,Hilary Swank Sam Rockwell Minnie Driver
Scooby-Doo! Curse of the Lake Monster,Brian Levant,Mystery Fantasy Comedy Adventure,Nick Palatas Frank Welker Robbie Amell
Hereafter,Clint Eastwood,Drama Fantasy,Matt Damon Cécile de France Bryce Dallas Howard
Paranormal Activity 2,Tod Williams,Horror Mystery,Sprague Grayden Brian Boland Molly Ephraim
Saw 3D,Kevin Greutert,Horror Crime,Tobin Bell Costas Mandylor Betsy Russell
The Girl Who Kicked the Hornets' Nest,Daniel Alfredson,Action Thriller Crime Mystery,Michael Nyqvist Noomi Rapace Lena Endre
Monsters,Lee Unkrich,Animation Comedy Family,John Goodman Billy Crystal Mary Gibbs
Crayon,Gert Driesen,unknown,
Due Date,Todd Phillips,Comedy Drama,Robert Downey Jr. Zach Galifianakis Michelle Monaghan
Fair Game,Andrew Sipes,Action Thriller Romance,William Baldwin Cindy Crawford Steven Berkoff
For Colored Girls,Tyler Perry,Drama,Kimberly Elise Janet Jackson Loretta Devine
Megamind,Tom McGrath,Animation Action Comedy Family Science Fiction,Will Ferrell Brad Pitt Tina Fey
Transformers & Transformers: Revenge of the Fallen in 3-D: The Double Freeway – Re-released in 3-D,unknown,unknown,unknown
127 Hours,Danny Boyle,Adventure Drama Thriller,James Franco Kate Mara Amber Tamblyn
Four Lions,Chris Morris,Comedy Crime Drama,Riz Ahmed Nigel Lindsay Kayvan Novak
Guy and Madeline on a Park Bench,Damien Chazelle,Drama Music Romance,Jason Palmer Desiree Garcia Sandha Khin
Five Minarets in New York,Mahsun Kırmızıgül,Drama,Gina Gershon Robert Patrick Justine Cotsonas
Care Bears: Share Bear Shines,Davis Doi,Family Animation,Anna Cummer
Morning Glory,Roger Michell,Comedy Drama Romance,Rachel McAdams Harrison Ford Patrick Wilson
Skyline,Colin Strause,Science Fiction Action,Eric Balfour Scottie Thompson David Zayas
Unstoppable,Tony Scott,Action Thriller,Denzel Washington Chris Pine Rosario Dawson
Harry Potter and the Deathly Hallows – Part 1,David Yates,Adventure Fantasy,Daniel Radcliffe Rupert Grint Emma Watson
The Next Three Days,Paul Haggis,Romance Drama Thriller Crime,Russell Crowe Elizabeth Banks Brian Dennehy
Made in Dagenham,Nigel Cole,Comedy Drama History,Sally Hawkins Bob Hoskins Miranda Richardson
Burlesque,Steve Antin,Drama Romance,Cher Christina Aguilera Eric Dane
Faster,"George Tillman, Jr.",Crime Drama Action Thriller,Dwayne Johnson Billy Bob Thornton Oliver Jackson-Cohen
Love & Other Drugs,Edward Zwick,Drama Comedy Romance,Jake Gyllenhaal Anne Hathaway Oliver Platt
Tangled,Byron Howard,Animation Family,Mandy Moore Zachary Levi Donna Murphy
The Nutcracker,Owen Hurley,Animation Family,Kelly Sheridan Kirby Morrow Tim Curry
The King's Speech,Chris Stoaling,Drama History,Colin Firth Geoffrey Rush Helena Bonham Carter
Black Swan,Darren Aronofsky,Drama Thriller Horror,Natalie Portman Mila Kunis Vincent Cassel
I Love You Phillip Morris,Glenn Ficarra,Comedy Drama Romance,Jim Carrey Ewan McGregor Leslie Mann
The Warrior's Way,Lee Seung-moo,Adventure Fantasy Action Western Thriller,Jang Dong-gun Kate Bosworth Geoffrey Rush
Night Catches Us,Tanya Hamilton,Drama Romance,Anthony Mackie Kerry Washington Wendell Pierce
Curious George: A Very Monkey Christmas,Cathy Malkasian,Animation Family TV Movie,Grey DeLisle Frank Welker Jeff Bennett
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Adventure Family Fantasy,Georgie Henley Skandar Keynes Will Poulter
The Tourist,Florian Henckel von Donnersmarck,Action Thriller Romance,Johnny Depp Angelina Jolie Paul Bettany
Frankie & Alice,Geoffrey Sax,Drama Thriller,Halle Berry Stellan Skarsgård Phylicia Rashād
The Tempest,Julie Taymor,Drama Fantasy,Helen Mirren Felicity Jones Reeve Carney
The Fighter,David O. Russell,Drama,Mark Wahlberg Christian Bale Amy Adams
How Do You Know,James L. Brooks,Comedy Drama Romance,Reese Witherspoon Paul Rudd Owen Wilson
Tron Legacy,Joseph Kosinski,Adventure Action Science Fiction,Garrett Hedlund Jeff Bridges Olivia Wilde
Yogi Bear,Eric Brevig,Comedy Family Animation Adventure,Dan Aykroyd Justin Timberlake Anna Faris
Casino Jack,George Hickenlooper,Comedy Crime Drama,Kevin Spacey Kelly Preston Hannah Endicott-Douglas
Rabbit Hole,John Cameron Mitchell,Drama,Nicole Kidman Aaron Eckhart Dianne Wiest
Little Fockers,Paul Weitz,Comedy Romance,Robert De Niro Ben Stiller Owen Wilson
True Grit,Joel Coen,Drama Adventure Western,Hailee Steinfeld Jeff Bridges Matt Damon
Somewhere,Sofia Coppola,Drama,Stephen Dorff Elle Fanning Chris Pontius
Country Strong,Shana Feste,Drama Romance Music,Gwyneth Paltrow Garrett Hedlund Tim McGraw
Gulliver's Travels,Rob Letterman,Family Comedy Adventure Fantasy,Jack Black Amanda Peet Emily Blunt
The Illusionist,Neil Burger,Fantasy Drama Thriller Romance,Edward Norton Paul Giamatti Jessica Biel
Another Year,Mike Leigh,Comedy Drama,Jim Broadbent Lesley Manville Ruth Sheen
Biutiful,Alejandro González Iñárritu,Drama,Javier Bardem Maricel Álvarez Hanaa Bouchaib
Blue Valentine,Derek Cianfrance,Drama Romance,Ryan Gosling Michelle Williams John Doman
Flypaper,Rob Minkoff,"Crime, Comedy",Patrick Dempsey Ashley Judd Tim Blake Nelson
Season of the Witch,Dominic Sena,"Fantasy, Adventure",Nicolas Cage Ron Perlman Ulrich Thomsen
"If I Want to Whistle, I Whistle",Florin Şerban,Drama,Ada Condeescu George Pistereanu Mihai Constantin
Phil Ochs: There but for Fortune,Kenneth Bowser,Documentary,Phil Ochs Tom Paxton Jello Biafra
The Time That Remains,Soda_Jerk,"Biography, Drama",
The Green Hornet,Michel Gondry,"Superhero, Action, Comedy",Seth Rogen Jay Chou Cameron Diaz
No Strings Attached,Ivan Reitman,"Romantic, Comedy",Natalie Portman Ashton Kutcher Kevin Kline
Barney's Version,Richard J. Lewis,"Comedy, Drama",Paul Giamatti Dustin Hoffman Rosamund Pike
The Dilemma,Ron Howard,"Comedy, Drama",Kevin James Vince Vaughn Winona Ryder
The Guard,John Michael McDonagh,Comedy,Brendan Gleeson Don Cheadle Liam Cunningham
Bellflower,Evan Glodell,Action Drama Romance,Evan Glodell Jessie Wiseman Tyler Dawson
